Regions,Climate Zone,April,August,December,February,January,July,June,March,May,November,October,September
Ain,Mountains,12.29,19.03,5.95,2.93,5.35,20.84,18.54,6.87,13.82,7.47,11.92,15.93
Aisne,Semi-Ocean,13.35,21.57,11.12,9.29,8.57,21.5,20.76,10.78,15.26,12.62,16.51,19.75
Allier,Continental,17.99,25.19,8.72,6.64,9.09,26.38,26.19,12.22,20.92,11.48,19.51,22.47
Alpes-de-Haute-Provence,Mountains,11.99,20.2,6.69,3.9,6.18,21.09,18.29,7.61,13.31,8.32,11.9,16.58
Alpes-Maritimes,Mediterranean,12.08,23.63,7.48,7.42,5.65,23.73,21.63,8.61,16.06,10.44,14.59,21.68
Ardèche,Mediterranean,11.51,23.85,8.16,4.97,6.21,24.76,20.2,8.11,14.99,9.26,15.17,19.55
Ardennes,Continental,15.34,25.8,9.32,8.26,9.52,28,22.89,11.71,19.38,12.42,17.21,21.91
Ariège,Mountains,11.48,19.01,6.3,3.63,5.54,20.37,18.26,7.1,13.67,6.64,12.76,15.02
Aube,Continental,17.07,25.54,9.04,8.75,9.82,28.57,23.8,11.24,19.2,12.11,17.36,22.8
Aude,Mediterranean,12.6,25.29,10.59,7.16,5.94,26.67,20.03,11.94,15.61,9.8,18.2,20.61
Aveyron,Mountains,11.16,19.98,6.11,4.22,4.32,20.21,18.81,7.71,14.7,8.32,13.45,15.56
Bas-Rhin,Continental,16.66,26.05,9.88,7.78,8.75,28.45,25.58,11.24,18.08,13.23,17.86,21.76
Bouches-du-Rhône,Mediterranean,11.64,23.37,8.32,5.13,6.55,23.95,21.31,9.39,15.36,9.85,15.03,20.25
Calvados,Oceanic,11.57,18.24,11.38,7.93,8.36,17.94,16.73,8.69,14.7,9.99,14.35,18.66
Cantal,Mountains,11.32,18.6,6.06,3.05,4.93,20.47,18.34,7.32,14.13,6.04,12.34,14.73
Charente,Semi-Ocean,12.97,21.64,10.6,7.81,11.03,24.06,21.15,10.26,16.99,12.67,18.03,19.79
Charente-Maritime,Oceanic,11.27,18.57,10.29,7.42,8.14,18.8,17.34,9.19,12.36,9.87,14.02,17.54
Cher,Semi-Ocean,13.15,20.58,10.97,7.71,9.63,22.61,19.3,10.71,15.28,11.56,16.26,18.95
Corrèze,Semi-Ocean,12.81,20.81,10.07,8.15,9.03,21.7,20.28,10.06,15.55,11.95,16.94,19.62
Côte-d'Or,Continental,15.23,25.53,9.13,6.76,7.67,26.43,23.9,11.77,18.27,11.43,16.58,21.84
Côtes-d'Armor,Oceanic,13.92,20.85,13,8.75,9.43,18.4,17.1,9.92,14.77,12,16.96,17.45
Creuse,Semi-Ocean,15.23,23.26,12.75,10.88,11.86,23.26,19.15,12.43,16.97,13.41,15.51,21.13
Deux-Sèvres,Semi-Ocean,12.91,21.52,10.63,8.45,9.76,21.96,20.63,11.33,15.79,12.28,15.86,18.74
Dordogne,Semi-Ocean,13.59,22.37,10.56,8.94,8.97,24.45,19.13,13.78,15.34,13.08,16.86,20.7
Doubs,Mountains,12,19.82,5.07,3.44,7.58,20.99,19.86,9.16,14.52,7.55,11.78,17.65
Drôme,Mediterranean,11.67,23.06,7.47,5.06,5.93,24.25,20.26,8.07,14.89,8.17,14.58,20
Essonne,Semi-Ocean,12.92,20.91,10.68,8.34,8.53,22.37,19.76,10.24,15.56,11.15,15.98,18.98
Eure,Oceanic,12.17,19.27,10.77,7.95,7.99,18.92,17.04,8.64,12.57,9.95,15.67,16.61
Eure-et-Loir,Semi-Ocean,12.89,21.7,11.32,8.18,9.76,21.88,19.22,11.08,16.18,12.24,16.32,19.54
Finistère,Oceanic,12.77,17.63,10.09,7.8,9.33,18.72,16.91,9.16,12.42,10.15,15.92,17.33
Gard,Mediterranean,11.28,25.12,9.16,6.6,7.49,25.56,19.61,8.98,15.24,10.76,15.12,19.42
Gers,Semi-Ocean,16.05,21.25,11.42,10.19,9.88,22.5,19.26,10.44,16.93,11.75,17.67,21.76
Gironde,Oceanic,12.46,18.9,10.73,7.23,7.87,19.17,16.33,10.1,14.44,11.75,15.57,17.64
Haut-Rhin,Continental,15.16,28.67,11.17,7.5,8.82,29.53,24.49,11.71,18.91,13.19,17.4,24.37
Haute-Garonne,Mountains,11.95,21.28,6.04,3.79,4.13,22.54,18.52,7.57,13.4,8.16,13.24,15.19
Haute-Loire,Mountains,13.01,18.74,5.8,3.64,4.13,20.64,19.71,6.45,13.76,7.11,12.58,17.27
Haute-Marne,Continental,16.35,27.24,9.66,7.01,9.16,28.46,23.61,12.69,19.31,12.7,18.09,22.34
Haute-Saône,Continental,15.6,25.63,10.21,7.64,7.61,26.29,23.54,11.1,19.48,12.08,17.38,21.89
Haute-Savoie,Mountains,12.32,19.52,7.45,3.61,5.75,22.09,20.81,6.42,14.22,7.23,12.61,16.77
Haute-Vienne,Semi-Ocean,12.94,20.44,10.11,8.01,9.22,22.28,19.64,10.75,15.63,11.3,16.19,19.36
Hautes-Alpes,Mountains,11.59,19.7,5.8,3.29,5.05,20.34,18.67,7.21,13.69,6.26,12.74,15.15
Hautes-Pyrénées,Mountains,11.68,18.99,5.22,2.67,4.35,20.23,18.78,6.97,13.92,6.12,11.48,14.87
Hauts-de-Seine,Semi-Ocean,15.46,21.69,10.63,8.6,8.56,22.48,21.66,12.66,16.37,11.68,18.17,19.9
Hérault,Mediterranean,11.92,23.92,9.26,5.96,5.7,24.7,21,8.96,14.65,8.38,15.57,21.22
Ille-et-Vilaine,Oceanic,10.93,19.31,9.6,8.51,9.3,19.06,15.9,9.16,14.52,10.46,15.26,17.98
Indre,Semi-Ocean,13.85,21.01,11.74,8.9,8.62,21.69,20.19,11.7,15.06,11.24,16.31,19.77
Indre-et-Loire,Semi-Ocean,15.65,22.58,12.84,7.62,9.78,23.56,22.15,10.42,18.09,11.68,17.4,21.89
Isère,Mountains,13.05,22.42,7.73,4.35,4.9,21.7,19.96,7.72,14.11,7.44,12.02,18.13
Landes,Oceanic,11.44,18.03,9.3,7.59,8.98,18.73,16.9,8.38,13.77,10.86,15.27,16.68
Loir-et-Cher,Semi-Ocean,13.18,20.67,10.36,8.46,9.69,22.61,20.31,10.63,16.07,11.41,16.33,19.39
Loire,Continental,15.63,25.67,8.24,8.28,8.91,27.72,24.17,11.84,18.59,12.17,17.32,22.81
Loire-Atlantique,Oceanic,10.91,18.75,9.2,7.75,8.23,18.37,15.53,8.71,13.04,10.43,14.85,17.31
Loiret,Semi-Ocean,12.96,21.58,10.4,10.03,10.18,24.31,19.22,12.1,17.5,13.41,17.01,18.79
Lot,Semi-Ocean,13.01,20.43,10.1,7.71,8.63,21.88,19.95,10.31,15.47,11.42,16.23,18.76
Lot-et-Garonne,Semi-Ocean,12.9,21.26,10.74,7.86,8.8,22.46,19.43,10.87,14.9,11.94,15.54,19.44
Lozère,Mountains,12.55,19.66,7.53,3.89,4.43,21.37,18.91,7.09,13.58,8.15,13.11,15.55
Maine-et-Loire,Semi-Ocean,14.38,20.71,10.41,8.55,8.98,22.78,20.54,10.39,15.39,11.21,17.25,20.32
Manche,Oceanic,13.27,19.14,10.83,6.75,9.59,19.76,16.3,8.45,13.12,9.89,15.77,17.6
Marne,Continental,14.63,26.03,8.78,7.25,8.05,26.91,22.93,11.33,18.3,10.76,16.97,21.93
Mayenne,Oceanic,11.26,19.61,10.92,7.85,10.83,19.42,17.93,10.29,12.5,13.44,15.82,17.52
Meurthe-et-Moselle,Continental,14.68,26.41,9.51,7.65,9.69,26.67,24.28,11.17,18.44,11.99,17.95,23.22
Meuse,Continental,15.52,27.73,10.41,8.22,10.06,27.6,23.1,11.97,19.3,11,16.61,22.54
Morbihan,Oceanic,10.89,18.65,9.98,7.85,7.78,19.44,16.11,9.34,13.09,10.48,13.98,17.14
Moselle,Continental,14.41,26.11,9.16,7.46,8.8,27.27,23.13,11.91,18.81,12.03,17.38,22.77
Nièvre,Continental,16.57,25.25,9.77,7.53,8.63,28.1,23.1,13.69,17.63,12.73,17.38,22.47
Nord,Oceanic,11.92,19.96,11.48,7.95,11.08,18.8,18.59,10.46,15.66,12.2,16.57,18.67
Oise,Semi-Ocean,13.66,20.95,11.4,9.43,8.82,21.6,19.3,11.55,16.28,12.77,16.55,20.24
Orne,Oceanic,11.04,18.44,9.31,6.95,7.65,18.64,15.64,8.79,12.73,10.81,14.82,16.71
Paris,Semi-Ocean,14.38,20.55,11.3,9.25,9.19,22.69,20.84,11.3,15.83,12.04,15.79,18.53
Pas-de-Calais,Oceanic,12.17,19.74,10.45,8.53,9.62,19.63,17.07,10.12,14.46,10.62,16.28,17.62
Puy-de-Dôme,Mountains,13.04,19.13,7,5.13,4.83,20.64,20.45,8.47,15.42,9.09,11.96,17.75
Pyrénées-Atlantiques,Oceanic,10.91,18.33,10.98,7.76,9.42,20.1,16.1,9.9,13.16,11.79,14.95,17.73
Pyrénées-Orientales,Mediterranean,11.83,23.01,7.8,5.89,6.61,24.31,20.02,8.41,15.14,9.91,15.41,20.43
Rhône,Continental,15.88,26.28,8.99,6.56,8.12,26.86,23.84,12.27,18.09,11.45,17.3,21.65
Saône-et-Loire,Continental,16.25,26.93,11.63,9.74,10.51,26.59,26.33,10.9,21.25,14.16,19.28,22.89
Sarthe,Semi-Ocean,15.56,21.85,11.51,7.64,12.45,24.84,21.53,12.26,18.93,14.52,18.05,19.1
Savoie,Mountains,11.82,22.12,7.38,5.02,7.16,22.14,22.16,8.64,16.26,6.21,13.89,14.82
Seine-et-Marne,Semi-Ocean,13.83,21.16,10.69,8.67,9.33,21.74,19.57,10.65,15.71,11.07,16.87,18.8
Seine-Maritime,Oceanic,10.81,18.77,12.36,7.96,8.09,19.25,15.31,9.27,12.85,12.08,14.19,19.76
Seine-Saint-Denis,Semi-Ocean,13.01,20.63,10.29,8.16,8.82,21.71,19.49,10.17,14.91,11.94,16.22,18.62
Somme,Oceanic,11.39,18.11,9.73,7.6,7.86,18.53,15.46,9.45,12.61,10.98,15.01,17.29
Tarn,Mountains,11.24,21.3,6.77,4.61,6.86,21.74,18,7.8,13.54,7.1,13.18,16.33
Tarn-et-Garonne,Semi-Ocean,14.89,24.57,12.27,10.37,10.7,25.14,19.88,10.54,16.73,13.21,16.1,18.63
Territoire de Belfort,Mountains,12.83,19.55,7.45,3.75,5.93,20.3,19.62,6.7,15.69,6.35,13.85,15.41
Val-d'Oise,Semi-Ocean,13.46,20.45,11.45,8.47,9.65,21.96,20.21,11.15,15.22,11.49,16.53,19.49
Val-de-Marne,Semi-Ocean,14.91,23.53,13.55,11.92,11.18,23.5,22.8,14.32,16.03,13.41,19.35,18.66
Var,Mediterranean,12.23,22.95,7.63,7.38,6.45,26.16,20.73,9.17,15.16,10.32,15.83,20.26
Vaucluse,Mediterranean,11.71,23.8,8.37,5.92,6.42,23.79,20.21,8.1,14.58,8.5,14.34,20.9
Vendée,Oceanic,11.88,17.54,10.38,8.19,7.74,18.52,16.58,9.61,14.11,11.41,15.54,17.84
Vienne,Semi-Ocean,14.16,20.91,12.97,11.33,12.05,23.6,21.09,13.37,16.01,11.76,18.55,21.39
Vosges,Mountains,10.85,18.98,5.24,3.01,4.98,20.29,19.48,6.9,14.36,6,12.53,14.9
Yonne,Continental,15.03,25.25,8.92,8.75,8.29,28.31,23.29,13.04,18.81,11.73,18.18,22.56
Yvelines,Semi-Ocean,12.85,21.54,11.96,8.41,10.79,23.05,22.11,13.04,17.15,12.78,16.33,18.95
